accessibility_grade,genre_group,venue_type,is_weekend,duration_days,organizer_type,organizer,predicted_accessibility_grade,proba_A,proba_B,proba_C,proba_D,proba_E
E,연극,소극장,0,69,대관,(주)레드앤블루,E,0.030180826578914386,0.005552424135334789,0.03235842626906297,0.14494649566890505,0.7869618273477827
E,연극,대형,0,34,대관,(주)씨제이이엔엠,E,0.0021819531410365474,0.01072940794309103,0.06409569501828082,0.40439156774576623,0.5186013761518254
D,클래식,대형,1,1,대관,(재)국립심포니오케스트라,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
E,뮤지컬,대형,0,52,대관,유한회사 라이온킹문화산업전문회사,E,0.003596028112363207,0.00748368746613722,0.03572277247068075,0.16444494212156938,0.7887525698292495
D,클래식,대형,0,1,대관,(재)KBS 교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,1,1,대관,(재)서울시립교향악단,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
E,클래식,대형,1,1,대관,(주)스톰프뮤직,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,소극장,0,1,대관,예인예술기획,A,0.810682193548414,0.17961614128261608,0.0030168881016511104,0.0034929455273462378,0.0031918315399725766
E,클래식,대형,0,1,대관,(주)마스트미디어,C,0.02560339428449213,0.09768080837660639,0.35408974170846974,0.2995486913675015,0.22307736426293026
A,클래식,중형,1,1,대관,UNICO,A,0.7603774771625608,0.14894319858118402,0.08151380829549838,0.0047303928429893,0.004435123117767562
C,클래식,대형,0,1,대관,(재)국립합창단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
E,뮤지컬,대형,1,16,대관,서울예술단,E,0.001163679330502109,0.01159717482805932,0.01640420972817892,0.2654868684682506,0.705348067645009
E,연극,소극장,1,16,대관,마방진,E,0.061066547445070354,0.03017892491955995,0.08177657703469758,0.15690110822591286,0.6700768423747593
B,클래식,대형,1,1,대관,(사)코리안챔버오케스트라,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
D,클래식,대형,0,1,대관,(재)KBS 교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
B,클래식,중형,1,1,대관,영음예술기획,A,0.7858846067922847,0.194709932402315,0.00974889620398371,0.0038903866946353245,0.005766177906781225
A,클래식,중형,1,1,대관,조인클래식,A,0.7858846067922847,0.194709932402315,0.00974889620398371,0.0038903866946353245,0.005766177906781225
E,클래식,대형,0,1,대관,(사)밀레니엄심포니오케스트라,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,0,1,기획,예술의전당,D,0.011532682940789254,0.1939595211662684,0.2203806450082373,0.4609753650350529,0.11315178584965215
E,뮤지컬,대형,0,17,대관,라이브(주),E,0.004552383846555536,0.009470038812381412,0.03530878303522971,0.4311372750218198,0.5195315192840135
D,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
E,발레,대형,0,5,대관,(재)국립발레단,E,0.0015031155406366415,0.007397959765639658,0.05098555439695007,0.21940148973600412,0.7207118805607695
A,클래식,소극장,0,1,대관,에이엠씨 엔터테인먼트,A,0.7696037129625518,0.18760477968847974,0.02844289463416031,0.007139753076770766,0.007208859638037305
D,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
A,클래식,중형,1,1,대관,예인예술기획,A,0.9282412329609968,0.06525520874570327,0.003267251182218518,0.0013038266344594354,0.0019324804766220405
D,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
C,클래식,대형,0,1,대관,(재)KBS 교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,소극장,0,1,대관,음악교육신문사,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
A,클래식,중형,0,1,대관,(주)마스트미디어,A,0.6482349672722035,0.2964729706325226,0.01831597409031429,0.013567482096061982,0.023408605908897578
D,클래식,대형,1,1,대관,크레디아뮤직앤아티스트,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
C,클래식,대형,0,1,대관,재단법인 강남문화재단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,중형,0,1,대관,(주)마스트미디어,A,0.6482349672722035,0.2964729706325226,0.01831597409031429,0.013567482096061982,0.023408605908897578
D,연극,대형,1,30,대관,(주)더블케이엔터테인먼트,D,0.0019778689178229546,0.02230009063388395,0.05053643289112621,0.5879619257086026,0.3372236818485642
C,클래식,대형,0,1,대관,SMI엔터테인먼트,C,0.10356445405960635,0.21849462937258998,0.3630173530237803,0.2472878197504269,0.06763574379359648
D,클래식,대형,0,1,대관,(재)서울시립교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,소극장,0,1,대관,영음예술기획,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
D,오페라,대형,1,2,대관,(재)김해문화재단 김해문화의전당,D,0.00444412436372973,0.30629202218584994,0.06821616153800229,0.4678878624819954,0.1531598294304226
A,클래식,중형,1,1,대관,예인예술기획,A,0.9282412329609968,0.06525520874570327,0.003267251182218518,0.0013038266344594354,0.0019324804766220405
A,클래식,중형,1,1,대관,조인클래식,A,0.7858846067922847,0.194709932402315,0.00974889620398371,0.0038903866946353245,0.005766177906781225
E,오페라,대형,0,3,대관,베세토오페라단,E,0.0033132179625085024,0.01586410687541116,0.040459731559406145,0.1919631541473132,0.7483997894553611
A,클래식,소극장,0,1,대관,이든예술기획,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
D,클래식,대형,0,1,대관,(재)KBS 교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,1,1,대관,(재)국립심포니오케스트라,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
B,클래식,소극장,0,1,대관,(주)스테이지원,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
D,오페라,대형,0,4,대관,국립오페라단,E,0.002585058103879203,0.012902572416494828,0.11028392266627603,0.3907160752913002,0.4835123715220497
E,클래식,대형,1,1,대관,(주)빈체로,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,소극장,1,1,대관,예진문화기획사,A,0.5121823020988991,0.4317743830760744,0.04651109373805168,0.004877783315576468,0.004654437771398245
A,클래식,중형,1,1,대관,지클레프,A,0.8288776284929862,0.15561340494716894,0.00779137927922365,0.0031092215617561725,0.004608365718865079
D,클래식,대형,0,1,대관,영음예술기획,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,0,1,대관,(재)서울시립교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,0,1,대관,(주)뮤직앤아트컴퍼니,C,0.10356445405960635,0.21849462937258998,0.3630173530237803,0.2472878197504269,0.06763574379359648
E,클래식,대형,1,1,대관,(주)마스트미디어,C,0.016048463128691057,0.1585756923411042,0.30435848113068636,0.238789110994166,0.2822282524053524
D,클래식,대형,1,1,대관,서울콘서트매니지먼트,B,0.026210489559638842,0.39346963438539306,0.3204581769080614,0.21192051361120365,0.047941185535702965
E,뮤지컬,대형,0,45,대관,오디컴퍼니주식회사,E,0.003596028112363207,0.00748368746613722,0.03572277247068075,0.16444494212156938,0.7887525698292495
D,클래식,대형,0,1,대관,(주)인아츠프로덕션,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,0,1,대관,(주)빈체로,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
E,연극,소극장,0,39,대관,(주)파크컴퍼니,E,0.032618057163881393,0.00600080608696766,0.03497150732494958,0.1566515439552515,0.76975808546895
E,발레,대형,0,5,대관,(재)국립발레단,E,0.0015031155406366415,0.007397959765639658,0.05098555439695007,0.21940148973600412,0.7207118805607695
B,클래식,대형,1,1,대관,(주)빈체로,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
C,클래식,대형,1,1,대관,주식회사 목프로덕션,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,중형,0,1,대관,지클레프,A,0.8073351866338342,0.17813541212133466,0.006343384550048592,0.004314962277161197,0.0038710544176212905
B,클래식,대형,0,1,대관,(주)트리니티이앤엠,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,0,1,대관,(주)인아츠프로덕션,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
E,발레,대형,1,9,대관,(재)한국문화재단,E,0.0011312416375687706,0.011273902268251534,0.0411124818355238,0.12393540918825206,0.8225469650704038
B,클래식,대형,1,1,대관,(주)오푸스,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
B,클래식,대형,0,1,대관,(사)한국음악협회,C,0.10356445405960635,0.21849462937258998,0.3630173530237803,0.2472878197504269,0.06763574379359648
E,뮤지컬,대형,1,72,대관,(주)씨제이이엔엠,E,0.001211814006048908,0.012066063036731899,0.035697561738843045,0.11973746549004818,0.831287095728328
A,클래식,중형,1,1,대관,예인예술기획,A,0.9282412329609968,0.06525520874570327,0.003267251182218518,0.0013038266344594354,0.0019324804766220405
A,클래식,대형,0,1,대관,영음예술기획,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,0,1,기획,예술의전당,D,0.011532682940789254,0.1939595211662684,0.2203806450082373,0.4609753650350529,0.11315178584965215
B,클래식,중형,0,1,대관,음악교육신문사,A,0.6749908602492719,0.3004992766513305,0.010700749761717542,0.0072789740547574335,0.006530139282922608
A,클래식,중형,0,1,대관,투픽스,A,0.6749908602492719,0.3004992766513305,0.010700749761717542,0.0072789740547574335,0.006530139282922608
C,클래식,대형,0,1,대관,(주)더브릿지컴퍼니,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
E,클래식,대형,1,1,대관,(주)스톰프뮤직,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,소극장,0,1,대관,예인예술기획,A,0.810682193548414,0.17961614128261608,0.0030168881016511104,0.0034929455273462378,0.0031918315399725766
A,클래식,중형,0,1,대관,예인예술기획,A,0.8812680797995011,0.1097780085908908,0.003909184116385794,0.002659145423645049,0.0023855820695773966
A,클래식,중형,0,1,대관,현대문화,A,0.6749908602492719,0.3004992766513305,0.010700749761717542,0.0072789740547574335,0.006530139282922608
C,클래식,대형,0,1,대관,(주)마스트미디어,C,0.02560339428449213,0.09768080837660639,0.35408974170846974,0.2995486913675015,0.22307736426293026
E,오페라,대형,0,4,대관,국립오페라단,E,0.002585058103879203,0.012902572416494828,0.11028392266627603,0.3907160752913002,0.4835123715220497
E,클래식,대형,0,1,대관,주식회사 파이플랜즈,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,1,1,대관,제이에스바흐,B,0.026210489559638842,0.39346963438539306,0.3204581769080614,0.21192051361120365,0.047941185535702965
E,클래식,대형,0,1,기획,예술의전당,D,0.011532682940789254,0.1939595211662684,0.2203806450082373,0.4609753650350529,0.11315178584965215
D,클래식,대형,0,1,대관,(재)국립심포니오케스트라,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
B,클래식,대형,1,1,대관,주식회사 목프로덕션,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
D,클래식,대형,0,1,대관,(주)빈체로,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
E,무용,대형,1,9,기획,예술의전당,E,0.00047880493340822944,0.004994717642150328,0.016865880320288306,0.07563683569149658,0.9020237614126565
A,클래식,중형,1,1,대관,(주)마스트미디어,A,0.7623716767334686,0.19143520944473494,0.015621195001717948,0.0072941418234352025,0.02327777699664332
A,클래식,중형,1,1,대관,영음예술기획,A,0.7858846067922847,0.194709932402315,0.00974889620398371,0.0038903866946353245,0.005766177906781225
E,연극,소극장,0,62,대관,(주)신시컴퍼니,E,0.03118083713936148,0.011785745696652096,0.045291272271799916,0.16509994167266553,0.746642203219521
D,클래식,대형,0,1,대관,라보라 예술기획,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,0,1,대관,크레디아뮤직앤아티스트,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,1,1,대관,(재)KBS 교향악단,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
D,클래식,대형,0,1,대관,크레디아뮤직앤아티스트,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,소극장,0,1,대관,조인클래식,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
A,클래식,소극장,0,1,대관,(사)부암뮤직소사이어티,A,0.7696037129625518,0.18760477968847974,0.02844289463416031,0.007139753076770766,0.007208859638037305
A,클래식,중형,1,1,대관,예인예술기획,A,0.9282412329609968,0.06525520874570327,0.003267251182218518,0.0013038266344594354,0.0019324804766220405
E,뮤지컬,대형,0,74,대관,EMK뮤지컬컴퍼니,E,0.0018450606974859272,0.009072792871109141,0.05419935264975226,0.15923435050992035,0.7756484432717322
A,클래식,중형,0,1,대관,뮤직클레프,A,0.6749908602492719,0.3004992766513305,0.010700749761717542,0.0072789740547574335,0.006530139282922608
A,클래식,중형,0,1,대관,예인예술기획,A,0.8812680797995011,0.1097780085908908,0.003909184116385794,0.002659145423645049,0.0023855820695773966
C,클래식,대형,1,1,대관,(재)KBS 교향악단,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
E,연극,대형,1,58,대관,쇼노트,E,0.0011461328652427937,0.012927774477079625,0.029284785309438476,0.15865585192915357,0.7979854554190855
E,클래식,대형,1,1,대관,크레디아뮤직앤아티스트,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
D,클래식,대형,1,1,대관,크레디아뮤직앤아티스트,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
D,클래식,대형,0,1,기획,예술의전당,D,0.011532682940789254,0.1939595211662684,0.2203806450082373,0.4609753650350529,0.11315178584965215
D,클래식,대형,0,1,기획,예술의전당,D,0.011532682940789254,0.1939595211662684,0.2203806450082373,0.4609753650350529,0.11315178584965215
D,클래식,대형,0,1,대관,(재)서울시립교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,소극장,0,1,대관,예인예술기획,A,0.810682193548414,0.17961614128261608,0.0030168881016511104,0.0034929455273462378,0.0031918315399725766
A,클래식,중형,1,1,대관,앙상블 소아베,A,0.7603774771625608,0.14894319858118402,0.08151380829549838,0.0047303928429893,0.004435123117767562
C,클래식,대형,0,1,대관,(주)서울신문사,C,0.10356445405960635,0.21849462937258998,0.3630173530237803,0.2472878197504269,0.06763574379359648
D,클래식,대형,0,1,대관,콜레기움 보칼레 서울,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,1,1,대관,(주)마스트미디어,C,0.016048463128691057,0.1585756923411042,0.30435848113068636,0.238789110994166,0.2822282524053524
C,클래식,대형,1,1,대관,(주)빈체로,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,중형,1,1,대관,지클레프,A,0.8288776284929862,0.15561340494716894,0.00779137927922365,0.0031092215617561725,0.004608365718865079
D,클래식,대형,0,1,대관,(주)빈체로,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,중형,1,1,대관,위드클래식,A,0.7858846067922847,0.194709932402315,0.00974889620398371,0.0038903866946353245,0.005766177906781225
B,클래식,대형,1,1,대관,(주)마스트미디어,C,0.016048463128691057,0.1585756923411042,0.30435848113068636,0.238789110994166,0.2822282524053524
C,클래식,대형,0,1,대관,재단법인 강남문화재단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,소극장,0,1,대관,음악교육신문사,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
D,클래식,대형,0,1,대관,(재)국립심포니오케스트라,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
A,클래식,소극장,0,1,대관,위드클래식,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
A,클래식,소극장,0,1,대관,위드클래식,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
D,클래식,대형,0,1,대관,(주)빈체로,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
C,클래식,대형,0,1,대관,(재)서울시립교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,클래식,대형,1,1,대관,(재)KBS 교향악단,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
D,클래식,대형,0,1,대관,서울예술기획(주),C,0.10356445405960635,0.21849462937258998,0.3630173530237803,0.2472878197504269,0.06763574379359648
A,클래식,중형,1,1,대관,레인보우브릿지,A,0.7603774771625608,0.14894319858118402,0.08151380829549838,0.0047303928429893,0.004435123117767562
A,클래식,중형,0,1,대관,(주)더존테크윌,A,0.7481177672407545,0.18130033045344116,0.05521301650265837,0.007718172019370066,0.007650713783776013
D,클래식,대형,0,1,기획,예술의전당,D,0.011532682940789254,0.1939595211662684,0.2203806450082373,0.4609753650350529,0.11315178584965215
D,연극,소극장,0,40,기획,예술의전당,E,0.016700042429649103,0.010340869220646098,0.03326304919611817,0.23421862383708994,0.7054774153164967
E,발레,대형,0,5,대관,(재)국립발레단,E,0.0015031155406366415,0.007397959765639658,0.05098555439695007,0.21940148973600412,0.7207118805607695
E,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
D,기타(복합),대형,1,16,대관,서울예술단,E,0.001163679330502109,0.01159717482805932,0.01640420972817892,0.2654868684682506,0.705348067645009
A,클래식,중형,1,1,대관,CLASSICO,A,0.7858846067922847,0.194709932402315,0.00974889620398371,0.0038903866946353245,0.005766177906781225
C,클래식,대형,1,1,대관,(재)KBS 교향악단,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
D,클래식,대형,0,1,대관,라보라 예술기획,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
E,오페라,대형,0,4,대관,국립오페라단,E,0.002585058103879203,0.012902572416494828,0.11028392266627603,0.3907160752913002,0.4835123715220497
B,클래식,대형,1,1,대관,(재)KBS 교향악단,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,중형,1,1,대관,제나클래식,A,0.7603774771625608,0.14894319858118402,0.08151380829549838,0.0047303928429893,0.004435123117767562
A,클래식,중형,0,1,대관,조인클래식,A,0.6749908602492719,0.3004992766513305,0.010700749761717542,0.0072789740547574335,0.006530139282922608
C,클래식,대형,1,1,대관,주식회사 파이플랜즈,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,중형,1,1,대관,조인클래식,A,0.7858846067922847,0.194709932402315,0.00974889620398371,0.0038903866946353245,0.005766177906781225
C,클래식,대형,1,1,대관,영음예술기획,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
E,연극,대형,0,24,기획,예술의전당,E,0.0012386838440512282,0.011762979718215027,0.03855429097962672,0.30110072186640285,0.6473433235917043
C,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
E,클래식,대형,0,1,대관,두남재엔터테인먼트 주식회사,C,0.10356445405960635,0.21849462937258998,0.3630173530237803,0.2472878197504269,0.06763574379359648
A,클래식,중형,0,1,대관,이든예술기획,A,0.6749908602492719,0.3004992766513305,0.010700749761717542,0.0072789740547574335,0.006530139282922608
C,클래식,대형,0,1,대관,(재)서울시립교향악단,C,0.04588342824195169,0.17374605847831615,0.3630320122217183,0.2820237812100247,0.1353147198479891
D,뮤지컬,대형,0,3,대관,(사)글로리아오페라단,E,0.0029483764513583924,0.013927104849102449,0.03555626426908713,0.1796399877101671,0.7679282667202848
A,클래식,대형,0,1,대관,주식회사 춘추커뮤니케이션즈,C,0.10356445405960635,0.21849462937258998,0.3630173530237803,0.2472878197504269,0.06763574379359648
E,오페라,대형,0,3,대관,(사)라 벨라 오페라단,E,0.007735027477824112,0.015674355996521484,0.05068949154232548,0.27218610457392634,0.6537150204094025
B,클래식,대형,1,1,대관,주식회사 토마토클래식,C,0.027903874932381525,0.2773936125802758,0.32667819924985575,0.2190416179863791,0.14898269525110788
A,클래식,중형,0,1,대관,현대문화,A,0.6749908602492719,0.3004992766513305,0.010700749761717542,0.0072789740547574335,0.006530139282922608
A,클래식,소극장,0,1,대관,음악교육신문사,A,0.6143713695022786,0.36586694023318705,0.006145213959586538,0.007114913411265057,0.006501562893682824
C,뮤지컬,소극장,0,3,대관,오페라팩토리,C,0.050139379393889266,0.017690712140973505,0.6777972690865566,0.00993329452107166,0.2444393448575091
A,클래식,중형,1,1,대관,지클레프,A,0.8288776284929862,0.15561340494716894,0.00779137927922365,0.0031092215617561725,0.004608365718865079
D,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
A,클래식,소극장,0,1,대관,마음소리발전소,A,0.7696037129625518,0.18760477968847974,0.02844289463416031,0.007139753076770766,0.007208859638037305
D,클래식,대형,0,1,기획,예술의전당,D,0.011532682940789254,0.1939595211662684,0.2203806450082373,0.4609753650350529,0.11315178584965215
E,뮤지컬,대형,0,3,대관,(재)한국문화재단,E,0.0029483764513583924,0.013927104849102449,0.03555626426908713,0.1796399877101671,0.7679282667202848
D,클래식,대형,1,1,기획,예술의전당,D,0.007956045056636347,0.22408950400591882,0.1854372545490973,0.4801624420301524,0.10235475435819505
